trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,0,-1.2184280354631032,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,8,-7.313186163727722,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,14,11.39471479816329,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",20,12,15.025715182146108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",30,7,-17.45728310074296,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,8,15.521528995781742,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,16,5.645783678477198,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",20,9,7.288664498957663,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,12,-28.15746708110717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",25,0,-23.253392561332827,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",30,7,-21.13654298835666,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",30,2,-20.570367575934714,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,6,21.68643769982586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,0,-110.8570043441914,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",35,4,18.106581543275393,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",25,0,-16.178943797095144,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,15,10.042634313838953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",25,0,-26.927498609920466,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,0,-29.398063946143978,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",25,0,-12.751029083908296,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",25,13,11.457065808828059,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,4,15.970833455665094,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",25,14,-22.87889765940855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,6,9.118999701127688,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,3,6.77267145138447,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",20,0,20.750731603217652,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,2,19.104178053969058,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",25,0,-59.178745094461604,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,0,-2.5246603930450795,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",30,11,-25.90768922372329,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,9,17.169859833536545,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,3,-17.053520691776324,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",25,6,20.812670679434266,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",20,12,-6.280768208825956,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",25,8,-15.777783679680091,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",25,19,12.260245014737425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,11,-17.279351739263685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",25,11,-16.109007953934942,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",20,0,31.091794577814326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",20,8,4.428529717345617,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",20,15,-2.759017275110264,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",20,0,20.491964805363523,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",20,14,11.270136201569928,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",20,16,6.646887576106884,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,11,16.816716839274818,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",25,6,-51.035573405666824,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",20,0,-25.030096993452574,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",35,0,-17.537928923349092,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",30,15,11.53197974692568,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",30,12,-4.858870883191521,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,15,8.689007187102995,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",20,16,7.3506153073041105,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",20,10,-17.392175519405434,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",25,0,18.49396020121105,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",20,0,11.470521692358174,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",20,10,20.006826017299204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",25,6,6.946656462526765,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",20,0,-20.96357428945262,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",25,0,25.87441041299981,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",30,18,-33.44961278453265,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",25,10,27.712986640481684,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",30,13,-33.82250523588883,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",20,12,14.394857383004101,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",25,11,2.6242498132587544,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",20,1,11.725592007036964,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",25,17,13.80234479680224,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",20,8,-18.623097755687876,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778965}",35,22,-17.242320249996858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671176}",30,10,-38.98452464903078,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384465}",20,0,-77.95809150002408,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
187,False,"{'a': 0.5, 'e': 0.1526797322759062}",20,10,19.479789752729168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15115293495314713}",20,2,10.940176814636617,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361566}",20,13,10.32643424933502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.1481449915475795}",30,18,19.510472677268467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.1466635416321037}",25,10,-35.48361547446743,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
